Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.","Please respond to the following statement:
 Selecting the words I considered important was difficult.",Why?,Please briefly describe your process for selecting the words you considered important.,What characteristics of a word or phrase made you select a particular word as important?,"Think about a case where you considered selecting a particular word as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words as important.","What, if anything, could have been more clear about the instructions you were given for selecting words as important?",Please briefly describe the order in which you selected the words you considered important.,"Please respond to the following statement:When selecting words that I considered important, I selected only words that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Start Date,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-07 17:08:26,Somewhat disagree,"Usually you could tell within the first few sentences how the reviewer felt about the movies. What was much trickier were the ones that just gave synopsis/ plot summaries, as those didn't express opinions so much as just stating facts. Nostalgic ones could also be a bit tricky, as it was unclear whether they actually enjoyed the movie or just were fond of the memories surrounding it.","Honestly, gut instinct and common sense. A lot of the reviews were very easy as they would have pretty hyperbolic first or last sentences (greatest movie, highly recommend to anyone vs boycott this movie, worst ever etc). For the tricky ones, I tended to rate nostalgic ones positively (if they are coming back after a long time and it brings back good memories, than its more likely positive even if the movie's quality isn't the greatest), while plot summary ones I leaned toward more negative ratings (if the only nice thing you got away from it was the general story outline, which anyone with a phone and a few seconds online can get without watching the movie, than you probably didn't enjoy it that much or nothing really stood out about it).",First and last sentences mainly as they kind of summarize the key feelings. The length of the review influenced how confident I felt as long rants or long lists of praises made it pretty clear how the person felt about the movie.,"Nothing really, it was pretty clear as is. ","Nothing much, maybe something showing progress in the survey (like review #__/10), although given how short and simple the task was, it's not necessary at all. ",,,,,,,,,,,,,,,,,,,,,18 - 24,Woman,,Asian,,,,,,,,,Bachelor's degree,,No,No,Yes,"Good luck with your research, sounds like an interesting topic! :)",78870,2021-09-07 16:50:53,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:08:43,Disagree,It was easy to look for the key words which would indicate whether it was positive or negative,Look for key words then look in context of the rest of the text incase the author was being sarcastic,beginning and end,none,having the text so you didnt have to scroll would be better,Somewhat agree,you often have to look at words or phrases in context so picking them out was difficult,choose the words which indicate positive or negative,whether they indicate positive or negative / good or bad message,i sometimes wanted to include a whole sentence but i thought ,no,select them as i came across them,Disagree,sometimes words or phrases could be used sarcastically,no issues,,,,,,,,,,,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,46086,2021-09-07 16:51:16,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,,,22
2021-09-07 17:08:53,Disagree,Because the context made it obvious how the viewer felt about each film.,"I would read the review thoroughly and understand the holistic sentiment of the writer, picking out the key words.",Everything - but predominantly the adjectives.,I don't think anything could have made it clearer!,"No issues, all went smoothly - thank you",Neither agree nor disagree,In some it was easier than others - e.g. some were very straightforward and non-florid when speaking about their likes/dislikes. Others were more roundabout in explaining their views (which was more difficult).,Again I looked predominantly at adjectives. Uppercase or bold letters/words were also helpful.,"The directness of the word (e.g. 'bad', 'awful' etc, rather than a metaphor or similar)","Often because the sentence went on too long I'd choose to de-select it, as it seemed less concise.","Nothing, thank you!",From the beginning of the copy to the end,Disagree,I treated every review as a standalone piece of content. One did not impact another for me.,"Nothing, it all went smoothly - thank you!",,,,,,,,,,,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,"No, nothing - thank you! ",19691,2021-09-07 16:50:49,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,20
2021-09-07 17:09:02,Disagree,The commentary in the reviews did not equivocate. They were quite clear as to whether the movie was excellent or awful. There weren't any neutral reviews in the ones I read. ,"I tried to get an understanding of the reviewer's emotion when they described a movie. If they liked it, the story and the performances then I marked it as a positive review. If any scathing words were used, I marked it as negative.",I read the entire review but the first and last few sentences were the most critical in determining the outcome.,"No, I think the instructions were quite clear.",No issues encountered.,,,,,,,,,,,,,,,,,,,,,45 - 54,Man,,Asian,,,,,,,,,Master's degree,,Yes,No,No,"No, thank you.",54617,2021-09-07 16:50:38,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:09:07,Strongly disagree,the descriptive words made it simple,by understanding the meaning of positive or negative descriptions,the adjectives,instructions were clear,no issues,,,,,,,,,,,Strongly disagree,the meanings were clear,you could tell which ones packed a punch by the way they were used in the sentences,the emotional impact of the phrases / words was obvious to me,there were a few phrases that were long and too wordy so I hesitated to highlight them all,nothing to suggest,i just worked through each paragraph one line at a time,Neither agree nor disagree,some words could be taken out of context if just applied generally,no suggestions,55 - 64,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,26325,2021-09-07 16:50:44,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:09:24,Disagree,"Very simple to choose.  Was the plot good or bad, was the characters telling the story as it is meant to be.  ","A bit of the both factors above,  Characters, plot, costumes, action and a whole load of other factors come into play here.  I like to keep it simple in my head, good v bad - honestly that's how to look at it, makes it a lot easier in deciding why or why not.","On certain words in the reviews e.g. terrible acting, bad dialogue, crude makeshift costumes.  Surely, in anyones mind, that is a definite no no.  For me simples is the way to go.","There was nothing for me to add or remove.  Look for positive words, actions and take it from there.  If those words were removed, the person reviewing would have to look for other souces to decide if positive or negative.","Again, nothing could have made it any easier, as it was no problem to do.   everything was well structured, easy to read, able to apply logic in some circumstances and that was that.   No issues encounted.   Thank you so much.",,,,,,,,,,,,,,,,,,,,,65+,Woman,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,Prefer not to say,Yes,Nothing to add sorry but I did enjoy reading some of the reviews!!,91453,2021-09-07 16:51:25,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:09:34,Strongly disagree,Most of the reviews had such strong adjectives used to describe the writer's feelings on the movie that it made it very easy to tell if they liked or disliked the movie.,"As I read the review I looked at whether the writer had plainly said if they liked or disliked the movie.  Most did.  If they didn't, you could read their description of the movie and could tell if they enjoyed the plot, actors, setting, etc. of if they hated it.","Most reviews would plainly say in the first and last sentence if they liked it or not.  However, I read the entire review to see how strongly they liked/disliked it.",Absolutely nothing.  They were very clear.,Everything ran perfectly and was easy to understand.  Thanks!,,,,,,,,,,,,,,,,,,,,,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,57974,2021-09-07 16:51:00,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:10:10,Somewhat disagree,"Some reviews have a clear standpoint of view, but there were a couple that had a lot of information and characteristics of the movie. Thus, you had to read carefully to analyze the main message in the review.","The review has a main objective, it can be either making others have interest on the movie or making others completely avoid the movie. That is how I determined if it was positive or negative.","I focused on the main message, whether the author of the review had interest on making others watch it or not.","Nothing, it was very clear.","Nothing, there were no errors.",,,,,,,,,,,,,,,,,,,,,25 - 34,Man,,,,Hispanic or Latine,,,,,,,Bachelor's degree,,No,No,Yes,"No, thank you.",32569,2021-09-07 16:57:42,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:11:33,Strongly disagree,the reviews were very descriptive therefor it gave you a sense if the review was negative or positive,i would read the review carefully to determine if the review was positive or negative.,the entire review,the instructions were very clear,nothing,,,,,,,,,,,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,Yes,Yes,,60777,2021-09-07 16:51:08,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:11:50,Somewhat agree,"On the whole it was not difficult, but 2 or 3 of the reviews went so far off on tangents and didn't always seem to make proper sense as they lost the thread of the point they were making that they became a little muddled or too specific for the average person without knowledge of what the writer was referencing.","I took note of the tone throughout, was it more positive or negative points. I tried to see if they started, middle and end with either positive or negative.","I focused on the introduction and conclusion, as well as the middle justification, also the reference to story, actors, special effects and dialogue/writing.","Not so much instructions, but what to choose if you feel a review is balanced, like middle of the road, neither strongly or leaning positive or negative, what to choose if in doubt. ","It would be nice to be able to highlight things that helped me make my decisions in the longer reviews, so when I get through reading them I can then look back and up and summarise my own assessment of whether my highlights sum to total or negative when the more difficult and complex reviews were less clear cut!",,,,,,,,,,,,,,,,,,,,,65+,Man,,Asian,,,,,,,,,Trade/technical/vocational training,,No,No,Yes,"It would be good to have, if possible, a middle of the road or balanced option, neither positive nor negative for a review. ",56232,2021-09-07 16:50:39,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:14:18,Somewhat disagree,The majority of reviews were either overwhelmingly positive or negative with the language used.,The words used; whether they were positive or negative and the tone of review; agressive etc.,"The keywords and phrases such as ""worst film ever"", clearly this phrase points towards it being negative and vice-versa","nothing, very easy to understand.",Able to highlight more words at once rather than individually clicking them,,,,,,,,,,,Somewhat disagree,"Because they were either positive words or negative words, simple.",Whether they were positive or negative words such as hate or love.,"Whether it was aggressive, positive or negative.",Because it wasn't a word that was particularly strong compared to other words used in the review.,nothing,"From top to bottom, no specific order.",Neither agree nor disagree,A positive word or negative word is fairly easy to understand so I always highlighted these regardless.,nothing,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,65646,2021-09-07 16:50:52,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:14:29,Somewhat disagree,THE LANGUAGE USED WAS CLEAR WHETHER FILM WAS GOOD OR NOT,THE LANGUAGE USED PORTRAYED NEGATIVITY OR POSITIVITY FOR ME,"THE USE OF WORDS SUCH AS GOOD OR BAD, INTERESTING OR ANNOYING ETC DETERMINED THE REVIEW ASPECT FOR ME",NO,NOTHING,,,,,,,,,,,Somewhat disagree,THE WORDS USED WERE CLEAR ON POSITIVITY OR OTHERWISE,THE WORDS I SELECTED UNDERLINED MY DECISION ON THE REVIEW,THE DETERMINNTION OF GOOD/BAD REVIEWS WAS EMPHASISED BY WORDS I SELECTED,I THINK I SELECTED THE APPROPRIATE WORDS,NOTHING,"I DID NOT SELECT AN ORDER, I SELECTED THOSE WORDS WHICH SEEMED APPROPRIATE",Somewhat disagree,I MADE MY OWN DECISION ON THE WORDS,NOTHING,35 - 44,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,I don’t know,Yes,,88477,2021-09-07 16:50:49,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:14:33,Strongly disagree,It not difficult because the reviewer usually express the emotions the movie invoke in them.,I concentrate on each words. ,i focus on the reviewer emotions. ,None,None,,,,,,,,,,,,,,,,,,,,,35 - 44,Man,,,Black or African American,,,,,,,,Bachelor's degree,,No,No,Yes,,88498,2021-09-07 16:56:26,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,,,,,,21
2021-09-07 17:15:27,Disagree,It was mostly easy although a few seemed purposely chosen to be neutral. ,"A positive review (if only given the choice between positive and negative and can't choose neutral) is one in which the person is glad they saw the movie. Even if they didn't enjoy it, they learned from it. Or even if they didn't love it at the time, it was memorable enough to re-watch.",Just that sense of the person either feeling like it was a waste of their 2 hours or not. ,"Whether we could have chosen phrases and whether those could be separated out. Like ""very over-the-top and horrible acting."" Over-the-top might not always be bad, so can I highlight ""very"" and ""horrible?"" I wasn't sure. ","The font was huge! The font for this part is fine, but the movie reviews were huge. I know that makes it easier to click on, but it went too far. ",,,,,,,,,,,Strongly disagree,I picked only the most obvious words since the example did that. ,"I looked for words which were truly used as negative in the review PLUS were words that if you just looked at them alone, would be considered negative. ","whether it really was a comment about the movie itself, like only using ""bad"" in cases like ""bad acting"" and not ""bad guy"" which could be in a good movie. ","Because I wasn't sure if I could select words in a phrase, especially where the words were separated by a word I would not want to choose (see my previous example on the last page back). ","Give an example with a phrase, especially where the words are separated.",I always did them in the order of reading. I did not go back over them. ,Somewhat agree,"Mostly, but some words are used negatively in one instance and not in another, like my example of ""bad guy"" or ""bad acting""",just the font size. ,55 - 64,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,77701,2021-09-07 16:50:59,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,23
2021-09-07 17:15:33,Agree,It explains easily on the overall emotion of the review from start to finish.,I looked out for strong emotion words and key words to indicate the overall theme of how they felt about the movie,"Strong negative and postive words, such as, marvelous and amazing!",The instructions were clear and easy to understand already in my opinion!,"The interface looks a tad outdated, but is definitely okay the way it is but a more modern theme would really suit the webpage.",,,,,,,,,,,Strongly disagree,It was easy to pick out these words since I know most of them already.,I briefly looked through the words that had the most emotions to them.,Long words that have a strong sense of meaning behind them.,Since I would consider myself not being completely sure what they were trying to explain in their review at the time.,The intructions were easy to understand!,"I choose them from little impact to very impactful. For example, I chose words such as ""bad"" first, then moved on to much stronger words such as outrageous!",Somewhat agree,"Since some words were definitely used more then once, but may be referring to another emotion, not always negative and not always positive!","The experience with the webpage study was great, with no issues whatsoever! The appearance of it could definitely use a bit of work though, perhaps, a bit of a refresh of the page to fit a more modern theme! :)",25 - 34,Man,,,Black or African American,,,,,,,,High School or equivalent,,Yes,Yes,Yes,,80750,2021-09-07 16:50:34,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,,,,23
2021-09-07 17:15:41,Disagree,You can get the feel for its being a negative or positive review by the first couple sentences usually. ,I thought about what the person who wrote the review was trying to say about the movie.,"Key words, like: Bad, terrible, good, best.",The instructions were clear and easy to understand.,Nothing i can think of would improve on the interface. I encountered no issues. ,Disagree,They were the key words used to convey if the writer was giving a negative or positive review. ,I picked words and phrases that would be used to tell someone how you felt about the movie.,If they were particularly positive or negative words. ,"I didn't really run into this situation. If i thought it was important, i chose it.",Nothing i can think of. ,I started from the beginning of the review and highlighted words and phrases as i re-read the review. ,Somewhat agree,Those words and phrases are important to gather what the writer thought of the movie.,Nothing i can think of would have improved the interface. I encountered no errors. ,,,,,,,,,,,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,91013,2021-09-07 16:50:55,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,,,,22
2021-09-07 17:15:43,Somewhat disagree,The reviews stated their opinions quite distinctinvely.,"If there were negative cononations or opinions, it was negative. If people recommend the movie base on positive remotes or commets, it was a positive review.",All of the review entirely was utilized to determine.,Nothing it was well.,Nothing it was well. Everything was streamline. ,Agree,I had to think about what I would like to see in reviews that provides my interest to seeing a movie or not.,I was looking for words that emphasize negative or positive remarks/emotions.,Positive or negative tone/comments/opinions.,If they were commenting on a certain thing in the film that doesn't impact the overall decision (in my opinion) i chose not to select it/unselect it.,Nothing else.,I went from the begining of the review to the end. I read through the entire review to select the choices. ,Disagree,I didn't follow that train of thought. I had my own system of thought for it.,N/A,,,,,,,,,,,25 - 34,Man,,Asian,,,,,,,,,Doctorate degree,,No,No,No,,35811,2021-09-07 16:51:41,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,,Dragging over words/phrases.,Highlighting words with arrow keys.,,22
