Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-08-20 09:15:46,Somewhat agree,It was hard to determine what the reviewer was criticising in a couple of the reviews.,I tried to determine whether the reviewer was recommending the film and whether they had assigned it good qualities.,"The overall message, the aim of the reviewer, the impression they gave me of the film and the language in context.",They seemed clear to me. It's just not always clear cut whether something's positive or negative.,Somewhat agree,"The words were used in unclear, complicated or ironic ways throughout the reviews.",I chose words or phrases that could not be construed as the opposite meaning in a different context and were unambiguous.,I chose them based on whether their meanings was inherently positive/negative and the aim of the reviewer.,I nearly chose some but then realised they were neutral out of context. I can't remember exactly but it was something to do with the acting and I thought it only sounded bad for a film review.,I think they were reasonably clear.,"I read it once to decide whether it was positive or negative then simply re-read again, highlighting words as I went.",Agree,"If this was an algorithm, it could be tricked by sarcasm or phrases that are normally used for positive features.",I would perhaps make the reviews appear like actual reviews rather than boxes in a survey.,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,28289,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,1
2021-08-20 09:17:04,Strongly disagree,It was pretty clear for all of them whether it was negative or positive,"Looking for the tone, language, nuance. Most not very nuanced except Scorcese one.","Tone, language, nuance, structure",it was all fine and clear,Strongly disagree,No problems,"Most emotive, opinionated words chosen","emotion, strength of feeling",There were better options perhaps which were clearer or less ambiguous,"All fine, no lack of clarity",From start to finish,Strongly disagree,It's more about context than individual words ,No problems,45 - 54,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,10444,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,3
2021-08-20 09:18:55,Somewhat disagree,Lots of hard negative or hard positive words make it easy to pick up in a short amount of time usually by 1-2 sentences,Key words and feelings,How they described the scenes and actors/storyline,All went fine no issues,Strongly disagree,Just felt natural and easy to pick out the bad words and good ones stood out,After reading it picked the ones with most emotion and feeling behind it,How hard it was and choice of word bad compared to terrible or disgusting for example,Chuck norris still rules,All went fine no issues,After reading the text I would just pick out the hard words with lots emotion behind sometimes they were just 1 word and other times a sentence such as ''this is the worst film ever'',Somewhat agree,Just natural instinct when the first sentence is this is the worst film ever its easy to know how the rest will go,no issues,18 - 24,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,I don’t know,Yes,,13103,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-20 09:19:26,Strongly disagree,Clear language to express praise or criticism,I looked for key positive or negative keywords.,All areas - the AI 'author' used these positive and negative keywords throughout the review,No - all clear :),Strongly disagree,The keywords are very clear,Looking for negative and emotive language,"Negative meaning, exclamation marks",I selected very liberally and all all areas where I thought were denoting this sentiment.,None.,From top to bottom of the review.,Agree,I wanted to select the unambiguous words.,None.,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,20678,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,5
2021-08-20 09:21:42,Disagree,the reviews were mostly very passionate and expressed strong views one wya or another,looking for language that was positive or negative,I read through each of them ,nothing,Disagree,there was some very strong language used,"i looked for the strongest words, those that reflected truly negative or positive opinions
",strength of meaning / lack of ambiguity,"i did not select some because i had already selected stronger words in the review, they were strong, but not the strongest",perhaps a limit on how many per review,"i read through the whole thing and then went back to highlight the strongest words, some were picked up on the second skim through looking for the words I had in my mind to highlight from the first",Strongly agree,because that is what i was asked to do ,"the text was huge, which meant i could not read the whole review in one screen without scrolling",35 - 44,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,,74957,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 09:21:50,Disagree,The majority were very clear about whether they liked or didn't like it and included key words explaining so,By reading the review to see what their opinion was,Usually the give away was within the first few sentences about whether or not they enjoyed it,Nothing,Disagree,Most of the reviews clearly stated their opinion so it was easy to pick out certain words or phrases,The words or phrases clearly stated a negative or positive opinion,If it was clearly positive or negative about a point in the movie,N/A,Nothing,I went through the review sentence by sentence and picked out various words or phrases which I thought were clearly positive or negative,Strongly agree,These were the instructions given,Nothing,35 - 44,Woman,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,46347,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 09:28:59,Disagree,The only difficult one was maybe the scorsese one because he did more of an essay but overall it was still positive,"Id read it and see what they said, use the words like whether they hated it said it was fun boring, nostagic, positive feelings or praising aspects of the films and vice versa",Primarily the start and finish however it all matters,it was very clear,Somewhat agree,"sometimes i just didnt know what sounded right, like whole phrases or just certain words, i rely more on overall feel",words that stood out as positive or negative or whole sentences conveying the writers thoughs,any strong emotion like hate,I almost picked racism in the eli roth one but it wasnt about the film but the character so i didnt feel it was relevant ,nothing,individual words where priority and then id go for sentences for detail,Somewhat disagree,i used whatever was given to me,"all very good, maybe add some hotkeys for making it quicker in future?",25 - 34,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,,88597,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,6
2021-08-20 09:33:10,Strongly disagree,There was one out of the 10 that seemed to sit on the fence a little. The rest of them were either significantly negative or positive.,Reading the article and then picking out the key points summarised. Whether those points were generally positive or negative.,"Whilst the whole review is important, I found that the last few sentences tended to sum up the reviewers overriding opinion of the film.","Pretty straightforward, was interesting to take part.",Somewhat agree,"The hardest part was trying to select which phrases were the MOST positive or negative, as often there were situations where well over 20% of the words and phrases used portrayed a positive or negative view.","I highlight all positive and negative words before checking the percentage highlighted and adjusting, if required, by removing the phrases and words that were the least important.",The tone and importance that I felt the reviewer placed on sentences or words had an impact on which I selected. I tried to put myself in the reviewers shoes and consider what would they say were the most important points taken in order to convey their view.,As above there were several situations where I went above the 20% boundary. In this case I would have to go back over the text and eliminate and words or phrases from my selection that had the least impact on the overall story the reviewer was trying to convey. I would then reread over the text again to ensure that the reviewers message was still being conveyed despite me choosing to remove the words or phrases I had selected.,"as prior, pretty straightforward.","I selected all relevant words or phrases, before comparing that to the proportion of the total article, then deleting and removing phrases or words as required to fit within the 20% boundary.",Somewhat agree,Generic negative or positive words are the clearest way to convey a message. If the phrase or term used only makes sense to that specific article then I consider them to be less important and therefore would only select them if I had some available space when I was going back over the article at the end.,no issues.,18 - 24,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,11848,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,4
2021-08-20 09:42:34,Somewhat agree,Most of the time the answer was clear-cut or 2 or so reviews that I had a difficulty understanding how positive they were and made me wish there was a neutral option.,I'm looking for the opening statement as well as negative words such as hate and bad.,I was particularly focused on the opening statement and a closing statement but most of the time I could tell through adjectives throughout the article.,I was taking for a curve with the neutral review but I'm glad after thinking about it that I was not prepared to see one so difficult to judge it made the study more interesting and I really struggle to try to pick a positive or A negative response.,Somewhat disagree,Most of the time the adjectives were very clear-cut.,I particularly look at the opening statement to see if the writer would include his strong opinion first. Is that is often a tactic and good review writing.,I was looking for negative adjectives particularly.,Sometimes I saw a negative words but they were not actually used in the context to describe the review but perhaps something a character did and said the plot it was actually a good thing or interesting thing.,This was very clear.,I simply read the article and went from top to bottom,Neither agree nor disagree,I had to pay attention to the context of the words especially. Just because I see the word hate or gross it might just be a word describing how interesting something was in the movie.,I did consider asking for a neutral button but after taking of it I don't think that would be a good idea it really helps me to struggle with a problem and decide even against the most neutral reviews whether they are positive or negative.,35 - 44,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,No,No,Yes,,22655,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,6
2021-08-20 09:45:07,Disagree,"Some of them were certainly a lot more easy to determine than others. But there were some that had words and phrases that I did not quite understand, or were not really saying if they enjoyed the film or not - just describing what it was about.",I looked for words that would stand out - I was looking for positive and negative words and the connecting it to the sentences around them,I read the whole thing from start to end before determining whether the review was positive or negative.,The instructions were very clear so no further action is required in my opinion. ,Somewhat disagree,Some words and phrases were easy to highlight. Sometimes I think I may have highlighted too much or too little,"I would read it once, then read it again to look at some of the words that I thought were negative or positive ","Anything that seemed positive or negative, I would look for. ","The person was describing that there was too much action, but I wasn't sure if that made the film negative for them. ",Nothing,I did it in the order of the review.,Somewhat agree,If they came across as negative/positive then I would highlight the word or phrases. ,It all went well,18 - 24,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,no thank you,40565,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,2
2021-08-20 09:49:10,Somewhat disagree,"Most of them had obvious negative or positive words, but there were two that were very difficult because they hardly had any writer's expression/impression of the film and little emotion.",Obvious words and phrases that indicated positive or negative reviews.,The writer's emotion and when I could not determine by that I used other relating phrases.,None.,Somewhat agree,Some of them did not have many words that stood out to select.,Most of them were obvious which choice of words but some were difficult to select so I based it on what I thought is best.,Things that stood out to me.,"Not many were like that, I was able to think and select what I thought was best and did not second guess.",None.,Picking the obvious words/phrases and then picking words/phrases based on context.,Somewhat agree,A lot of phrases are obvious negative or positive with words that usually stand out.,Nothing.,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,52681,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,1
2021-08-20 09:49:42,Disagree,Apart from one that wasn't clear about reviewing one particular film but rather a director. It was easy to see if someone enjoyed or didn't because they said so.,The process was reading through the reviews.,Key words positive or negative. ,N/A,Disagree,"Words used were clear, either positive or negative.",Reading through for clear and obvious words.,If it was positive or negative towards the film.,If I wasn't sure if it was a feeling overall not based purely on the film.,N/A,I don't understand what this question means. I went down the review looking for either positive or negative words/sentences/phrases.,Somewhat agree,Because it would mean the same thing in another review.,n/a,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,54739,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Dragging over words/phrases.,,,4
